,Diesel,Kerosene,Regular,Super,Town,date,super_normed_price
250,89.34,62.94,112.02,100.2,Marsabit,2015-10-15,0.768228168366
251,85.67,59.27,108.7,96.53,Maua,2015-10-15,0.740090469984
252,85.12,58.72,108.2,95.98,Meru,2015-10-15,0.7358736487
253,86.47,59.81,109.04,97.14,Migori,2015-10-15,0.744767308135
254,83.41,56.94,106.34,94.08,Mogotio,2015-10-15,0.721306447903
255,83.5,57.04,106.43,94.18,Molo,2015-10-15,0.722073142682
256,79.15,53.32,102.92,89.98,Mombasa,2015-10-15,0.689871961972
257,85.09,58.69,108.17,95.95,Mtito Andei,2015-10-15,0.735643640267
258,83.02,56.62,106.3,93.88,Muranga,2015-10-15,0.719773058345
259,84.2,57.8,107.37,95.06,Mwingi,2015-10-15,0.728820056735
260,82.43,56.04,105.76,93.29,Nairobi,2015-10-15,0.715249559151
261,83.7,57.23,106.61,94.37,Naivasha,2015-10-15,0.723529862762
262,83.35,56.88,106.28,94.02,Nakuru,2015-10-15,0.720846431036
263,84.09,57.69,107.26,94.95,Namanga,2015-10-15,0.727976692479
264,84.59,58.19,107.72,95.45,Nanyuki,2015-10-15,0.731810166373
265,83.89,57.5,107.09,94.75,Narok,2015-10-15,0.726443302921
266,84.84,58.44,107.94,95.7,Nkubu,2015-10-15,0.73372690332
267,83.59,57.12,106.51,94.26,Nyahururu,2015-10-15,0.722686498505
268,85.17,58.52,107.87,95.85,Nyamira,2015-10-15,0.734876945488
269,83.99,57.59,107.18,94.85,Nyeri,2015-10-15,0.7272099977
270,84.56,57.91,107.31,95.24,Oyugis,2015-10-15,0.730200107337
271,83.12,56.72,106.38,93.98,Sagana,2015-10-15,0.720539753124
272,84.91,58.25,107.63,95.58,Siaya,2015-10-15,0.732806869585
273,84.56,57.91,107.31,95.24,Sondu,2015-10-15,0.730200107337
274,85.74,59.09,108.38,96.42,Sotik,2015-10-15,0.739247105727
275,82.3,56.47,105.79,93.14,Taveta,2015-10-15,0.714099516982
276,82.57,56.18,105.89,93.43,Thika,2015-10-15,0.716322931841
277,80.75,54.91,104.38,91.58,Voi,2015-10-15,0.702139078433
278,90.69,64.29,113.24,101.55,Wajir,2015-10-15,0.77857854788
279,84.69,58.11,107.5,95.36,Webuye,2015-10-15,0.731120141072
280,82.83,55.33,0,105.25,Bomet,2015-09-15,0.806946254696
281,82.42,54.73,0,104.83,Bondo,2015-09-15,0.803726136625
282,82.82,55.21,0,105.24,Bungoma,2015-09-15,0.806869585218
283,83.42,55.73,0,105.83,Busia,2015-09-15,0.811393084413
284,81.73,54.29,0,104.38,Chuka,2015-09-15,0.80027601012
285,82.06,54.44,0,104.47,Eldoret,2015-09-15,0.800966035421
286,81.21,53.78,0,103.87,Embu,2015-09-15,0.796365866748
287,84.56,57.13,0,107.22,Garisa,2015-09-15,0.822050141839
288,80.91,53.42,0,103.33,Gilgil,2015-09-15,0.792225714943
289,83.79,56.1,0,106.21,Homabay,2015-09-15,0.814306524573
290,84.21,56.52,0,106.63,Isebania,2015-09-15,0.817526642644
291,83.23,55.79,0,105.88,Isiolo,2015-09-15,0.811776431802
292,82.18,54.68,0,104.59,Kabarnet,2015-09-15,0.801886069156
293,80.42,52.99,0,103.08,Kajiado,2015-09-15,0.790308977996
294,82.19,54.51,0,104.61,Kakamega,2015-09-15,0.802039408112
295,82.79,55.18,0,105.21,Kapenguria,2015-09-15,0.806639576784
296,82.07,54.46,0,104.49,Kapsabet,2015-09-15,0.801119374377
297,82.61,54.92,0,105.03,Kericho,2015-09-15,0.805259526183
298,83.42,55.73,0,105.83,Keroka,2015-09-15,0.811393084413
299,81.23,53.79,0,103.88,Kerugoya,2015-09-15,0.796442536226
300,81.68,54.25,0,104.34,Kiganjo,2015-09-15,0.799969332209
301,76.92,50.05,0,99.52,Kilifi,2015-09-15,0.76301464387
302,83.07,55.38,0,105.49,Kisii,2015-09-15,0.808786322165
303,82.12,54.44,0,104.54,Kisumu,2015-09-15,0.801502721766
304,82.39,54.78,0,104.81,Kitale,2015-09-15,0.803572797669
305,81.73,54.29,0,104.38,Kitui,2015-09-15,0.80027601012
306,77.04,50.18,0,99.64,Kwale,2015-09-15,0.763934677605
307,80.67,53.8,0,103.27,Lamu,2015-09-15,0.791765698076
308,87.43,60,0,110.09,Liboi,2015-09-15,0.84405428199
309,77.04,50.17,0,99.64,Likoni Mainland,2015-09-15,0.763934677605
310,89.93,62.32,0,112.35,Lokichogio,2015-09-15,0.861381583991
311,81.07,53.57,0,103.48,Londiani,2015-09-15,0.793375757111
312,77.94,51.08,0,100.54,Lungalunga,2015-09-15,0.770834930614
313,80.13,52.7,0,102.79,Machakos,2015-09-15,0.788085563137
314,80.57,53.14,0,103.23,Makuyu,2015-09-15,0.791459020164
315,83.28,55.66,0,105.7,Malaba,2015-09-15,0.810396381201
316,77.61,50.75,0,100.21,Malindi,2015-09-15,0.768304837844
317,93.8,66.36,0,116.45,Mandela,2015-09-15,0.892816069923
318,85.07,57.57,0,107.48,Maral,2015-09-15,0.824043548263
319,81.61,54.11,0,104.02,Marigat,2015-09-15,0.797515908917
320,86.89,59.46,0,109.55,Marsabit,2015-09-15,0.839914130185
321,83.23,55.79,0,105.88,Maua,2015-09-15,0.811776431802
322,82.67,55.24,0,105.33,Meru,2015-09-15,0.807559610519
323,84.03,56.34,0,106.45,Migori,2015-09-15,0.816146592042
324,80.97,53.47,0,103.39,Mogotio,2015-09-15,0.79268573181
325,81.07,53.57,0,103.48,Molo,2015-09-15,0.793375757111
